location,city,property_type,bedrooms,bathrooms,size_sqm,furnished,serviced,annual_rent,listing_date,listing_url
Asokoro,Abuja,self-contain,0,1,127,no,not stated,1900000,11/08/2026,#######
Gbagada,Lagos,terrace,2,2,126,yes,not stated,2200000,07/08/2026,#######
Ikoyi,Lagos,terrace,3,2,760,not stated,yes,5300000,04/08/2026,#######
Ikoyi,Lagos,bungalow,2,2,88,yes,yes,4600000,17/08/2026,#######
Ikoyi,Lagos,flat,5,5,652,no,no,7100000,11/08/2026,#######
Allen,Lagos,flat,4,4,495,not stated,not stated,5600000,16/08/2026,#######
Apo,Abuja,bungalow,6,5,,no,yes,7200000,10/08/2026,#######
Maitama,Abuja,terrace,2,2,,yes,yes,5400000,15/08/2026,#######
VGC,Lagos,flat,2,1,,no,not stated,3800000,06/08/2026,#######
Maryland,Lagos,terrace,5,4,,yes,not stated,5900000,12/08/2026,#######
Lekki Phase 2,Lagos,bungalow,3,4,506,yes,yes,3400000,09/08/2026,#######
Life Camp,Abuja,mansion,3,4,1158,no,no,6500000,07/08/2026,#######
Gbagada,Lagos,penthouse,2,2,82,no,yes,5100000,14/08/2026,#######
Gwarinpa,Abuja,terrace,1,2,145,no,not stated,2800000,07/08/2026,#######
Ikeja GRA,Lagos,mansion,1,1,891,yes,not stated,8400000,01/08/2026,#######
Surulere,Lagos,mansion,2,3,983,not stated,no,5200000,02/08/2026,#######
Mabushi,Abuja,flat,2,2,101,no,yes,2800000,03/08/2026,#######
VGC,Lagos,bungalow,3,2,470,yes,yes,4500000,05/08/2026,#######
Katampe,Abuja,mansion,5,4,985,not stated,yes,8300000,01/08/2026,#######
Surulere,Lagos,flat,3,2,,not stated,not stated,3300000,16/08/2026,#######
Ilupeju,Lagos,mansion,2,2,,no,no,6200000,03/08/2026,#######
Lokogoma,Abuja,penthouse,4,4,350,no,no,5600000,08/08/2026,#######
Ojodu Berger,Lagos,bungalow,4,5,,not stated,yes,5000000,05/08/2026,#######
Amuwo Odofin,Lagos,self-contain,0,1,,no,yes,1000000,11/08/2026,#######
Lugbe,Abuja,duplex,1,2,65,yes,no,1400000,07/08/2026,#######
Maryland,Lagos,duplex,3,4,,no,no,3900000,17/08/2026,#######
Guzape,Abuja,flat,4,5,770,no,yes,5600000,10/08/2026,#######
Ikeja,Lagos,penthouse,5,6,,no,yes,6600000,16/08/2026,#######
Asokoro,Abuja,self-contain,0,1,,yes,not stated,1600000,10/08/2026,#######
Opebi,Lagos,duplex,5,6,,not stated,no,4700000,02/08/2026,#######
Lugbe,Abuja,mansion,4,5,837,yes,yes,8400000,15/08/2026,#######
Apo,Abuja,duplex,2,1,73,not stated,not stated,3300000,15/08/2026,#######
Festac,Lagos,flat,4,4,735,no,not stated,4800000,04/08/2026,#######
Victoria Island,Lagos,mansion,3,4,,yes,no,15800000,11/08/2026,#######
Gwarinpa,Abuja,flat,3,3,173,not stated,yes,4400000,17/08/2026,#######
Ilupeju,Lagos,duplex,2,3,69,not stated,no,2100000,11/08/2026,#######
Lugbe,Abuja,terrace,2,2,80,no,yes,2400000,12/08/2026,#######
Jahi,Abuja,terrace,2,1,98,no,yes,4000000,02/08/2026,#######
Jahi,Abuja,terrace,5,6,673,no,not stated,6000000,11/08/2026,#######
Yaba,Lagos,terrace,6,5,,yes,yes,7200000,06/08/2026,#######
Ilupeju,Lagos,penthouse,3,4,720,not stated,no,5700000,02/08/2026,#######
Surulere,Lagos,terrace,3,3,593,not stated,no,4700000,02/08/2026,#######
Lekki Phase 2,Lagos,self-contain,0,1,48,not stated,yes,0,14/08/2026,#######
Guzape,Abuja,penthouse,1,2,42,not stated,no,8200000,13/08/2026,#######
Magodo,Lagos,mansion,2,3,908,not stated,no,10000000,10/08/2026,#######
Ikoyi,Lagos,mansion,5,5,1031,yes,no,15600000,02/08/2026,#######
Garki,Abuja,self-contain,0,1,102,no,not stated,1300000,15/08/2026,#######
Jahi,Abuja,penthouse,4,4,492,not stated,no,10100000,18/08/2026,#######
Lokogoma,Abuja,flat,3,4,204,yes,not stated,4000000,17/08/2026,#######
Guzape,Abuja,bungalow,2,1,140,not stated,not stated,4500000,11/08/2026,#######
Apo,Abuja,duplex,2,1,,no,no,3400000,04/08/2026,#######
Yaba,Lagos,mansion,1,2,611,no,yes,5700000,03/08/2026,#######
Yaba,Lagos,duplex,2,1,52,not stated,yes,3800000,16/08/2026,#######
Apo,Abuja,terrace,1,2,115,no,not stated,1500000,08/08/2026,#######
Ajah,Lagos,duplex,2,3,90,no,not stated,3600000,17/08/2026,#######
Apo,Abuja,bungalow,2,2,96,not stated,not stated,3300000,07/08/2026,#######
Guzape,Abuja,mansion,2,1,519,not stated,no,12100000,01/08/2026,#######
Festac,Lagos,penthouse,3,2,287,no,no,5100000,02/08/2026,#######
Maitama,Abuja,mansion,3,4,892,no,not stated,17000000,11/08/2026,#######
Opebi,Lagos,flat,2,1,,no,not stated,2500000,01/08/2026,#######
Lokogoma,Abuja,penthouse,3,4,344,yes,no,6200000,01/08/2026,#######
Opebi,Lagos,terrace,2,2,,yes,no,2300000,06/08/2026,#######
Apo,Abuja,terrace,1,2,99,yes,not stated,2400000,08/08/2026,#######
Guzape,Abuja,duplex,4,4,379,not stated,not stated,6000000,12/08/2026,#######
Ojodu Berger,Lagos,duplex,1,2,102,no,not stated,1600000,08/08/2026,#######
Maryland,Lagos,terrace,2,3,,no,yes,2900000,02/08/2026,#######
Victoria Island,Lagos,flat,2,2,,no,yes,4700000,08/08/2026,#######
Mabushi,Abuja,duplex,2,3,,not stated,not stated,2300000,05/08/2026,#######
Gwarinpa,Abuja,bungalow,4,4,644,not stated,not stated,5400000,08/08/2026,#######
Guzape,Abuja,mansion,3,2,1070,yes,yes,11900000,13/08/2026,#######
Jahi,Abuja,duplex,4,5,,yes,yes,7100000,08/08/2026,#######
Garki,Abuja,bungalow,3,3,466,not stated,no,3900000,08/08/2026,#######
Ikeja GRA,Lagos,flat,5,6,,not stated,yes,7000000,16/08/2026,#######
Katampe,Abuja,terrace,4,5,,no,yes,4600000,16/08/2026,#######
Ikoyi,Lagos,self-contain,0,1,110,not stated,not stated,1600000,02/08/2026,#######
Ajah,Lagos,duplex,3,4,718,no,not stated,3200000,12/08/2026,#######
Wuse 1,Abuja,terrace,1,1,100,no,yes,2900000,04/08/2026,#######
Katampe,Abuja,flat,5,6,652,no,not stated,6000000,07/08/2026,#######
Katampe,Abuja,terrace,5,4,,not stated,not stated,6000000,10/08/2026,#######
Magodo,Lagos,terrace,3,3,,no,not stated,5200000,11/08/2026,#######
Maitama,Abuja,self-contain,0,1,52,no,not stated,1100000,15/08/2026,#######
Surulere,Lagos,mansion,2,2,862,yes,yes,5600000,01/08/2026,#######
Allen,Lagos,mansion,6,6,,yes,not stated,9300000,07/08/2026,#######
Ikoyi,Lagos,bungalow,3,3,534,no,yes,6100000,07/08/2026,#######
Maryland,Lagos,self-contain,0,1,139,no,not stated,600000,13/08/2026,#######
Maitama,Abuja,terrace,2,3,88,no,not stated,5400000,07/08/2026,#######
Allen,Lagos,flat,5,5,201,not stated,no,6400000,15/08/2026,#######
Maitama,Abuja,terrace,1,1,,no,not stated,5000000,17/08/2026,#######
VGC,Lagos,terrace,3,3,,no,not stated,4700000,08/08/2026,#######
Sangotedo,Lagos,terrace,1,1,65,yes,no,3000000,12/08/2026,#######
Asokoro,Abuja,bungalow,5,4,516,yes,no,8900000,10/08/2026,#######
Victoria Island,Lagos,mansion,4,5,,no,not stated,16400000,12/08/2026,#######
Ajah,Lagos,flat,3,4,185,not stated,yes,2900000,02/08/2026,#######
Apo,Abuja,mansion,1,1,871,not stated,not stated,4600000,15/08/2026,#######
Opebi,Lagos,terrace,4,3,307,not stated,not stated,5100000,15/08/2026,#######
Amuwo Odofin,Lagos,bungalow,2,1,98,not stated,not stated,3000000,16/08/2026,#######
Allen,Lagos,mansion,4,3,625,yes,no,7600000,09/08/2026,#######
Surulere,Lagos,penthouse,4,5,,not stated,yes,6400000,14/08/2026,#######
Yaba,Lagos,bungalow,4,5,,no,yes,3900000,05/08/2026,#######
Opebi,Lagos,bungalow,4,3,436,no,yes,3800000,01/08/2026,#######
Victoria Island,Lagos,mansion,3,4,,no,no,15300000,07/08/2026,#######
Apo,Abuja,mansion,6,6,716,yes,no,8600000,17/08/2026,#######
Maryland,Lagos,self-contain,0,1,149,yes,yes,1500000,18/08/2026,#######
Jahi,Abuja,self-contain,0,1,,not stated,not stated,1300000,03/08/2026,#######
Jahi,Abuja,mansion,1,2,,not stated,not stated,12100000,09/08/2026,#######
Apo,Abuja,terrace,3,3,657,not stated,not stated,4300000,10/08/2026,#######
Lugbe,Abuja,self-contain,0,1,148,no,no,100000,02/08/2026,#######
Gwarinpa,Abuja,bungalow,3,3,,yes,not stated,4900000,05/08/2026,#######
Ikeja GRA,Lagos,penthouse,2,2,61,no,no,8000000,06/08/2026,#######
Festac,Lagos,self-contain,0,1,116,no,yes,400000,07/08/2026,#######
Ikeja GRA,Lagos,terrace,4,5,742,not stated,not stated,5900000,01/08/2026,#######
Sangotedo,Lagos,duplex,5,4,,no,no,5500000,12/08/2026,#######
Guzape,Abuja,duplex,2,3,99,no,not stated,3900000,11/08/2026,#######
Ilupeju,Lagos,flat,1,2,41,yes,no,2800000,15/08/2026,#######
Yaba,Lagos,duplex,5,4,467,not stated,no,4500000,18/08/2026,#######
Life Camp,Abuja,self-contain,0,1,,yes,yes,600000,05/08/2026,#######
Victoria Island,Lagos,duplex,2,3,,not stated,yes,5700000,10/08/2026,#######
Life Camp,Abuja,bungalow,2,2,,yes,no,3200000,02/08/2026,#######
Dutse,Abuja,terrace,4,3,,no,yes,3800000,14/08/2026,#######
Wuse 1,Abuja,mansion,5,6,,no,no,8300000,01/08/2026,#######
Maitama,Abuja,mansion,2,1,1186,no,no,15300000,03/08/2026,#######
Ikoyi,Lagos,self-contain,0,1,,yes,yes,400000,16/08/2026,#######
Gbagada,Lagos,duplex,4,5,292,yes,not stated,4600000,03/08/2026,#######
Amuwo Odofin,Lagos,mansion,3,2,677,yes,yes,6200000,10/08/2026,#######
Gwarinpa,Abuja,terrace,2,3,111,not stated,not stated,5200000,10/08/2026,#######
Maitama,Abuja,flat,6,5,288,no,no,9700000,03/08/2026,#######
Lekki Phase 1,Lagos,flat,3,4,784,yes,no,6200000,07/08/2026,#######
Amuwo Odofin,Lagos,flat,5,5,770,not stated,yes,6000000,12/08/2026,#######
Yaba,Lagos,penthouse,3,2,752,no,not stated,5900000,16/08/2026,#######
Garki,Abuja,duplex,1,1,93,not stated,no,2400000,05/08/2026,#######
Lokogoma,Abuja,terrace,2,2,95,no,no,2900000,16/08/2026,#######
Katampe,Abuja,terrace,4,5,268,no,no,5300000,17/08/2026,#######
Wuse 1,Abuja,flat,3,3,,not stated,yes,3000000,14/08/2026,#######
Surulere,Lagos,flat,1,1,149,not stated,yes,1300000,05/08/2026,#######
Wuse 1,Abuja,flat,4,3,357,not stated,no,4000000,15/08/2026,#######
Lugbe,Abuja,terrace,2,3,,not stated,yes,3800000,05/08/2026,#######
Lokogoma,Abuja,terrace,2,2,95,yes,no,3900000,04/08/2026,#######
Apo,Abuja,terrace,5,4,645,no,yes,5300000,12/08/2026,#######
Apo,Abuja,penthouse,5,6,504,no,no,6800000,12/08/2026,#######
Amuwo Odofin,Lagos,penthouse,4,4,541,not stated,not stated,6700000,06/08/2026,#######
Festac,Lagos,mansion,4,5,,no,no,7300000,16/08/2026,#######
Sangotedo,Lagos,mansion,2,1,554,no,no,6000000,11/08/2026,#######
Yaba,Lagos,terrace,2,2,53,yes,no,2700000,14/08/2026,#######
Jahi,Abuja,mansion,4,3,,no,yes,14100000,09/08/2026,#######
Festac,Lagos,self-contain,0,1,83,yes,yes,1400000,14/08/2026,#######
Lokogoma,Abuja,bungalow,1,1,,yes,no,1700000,11/08/2026,#######
Jahi,Abuja,duplex,2,2,60,yes,no,3800000,15/08/2026,#######
Allen,Lagos,mansion,3,2,778,no,not stated,6400000,10/08/2026,#######
Ikoyi,Lagos,flat,2,2,,yes,yes,5900000,14/08/2026,#######
Ikeja,Lagos,bungalow,1,2,,no,yes,1700000,12/08/2026,#######
Maryland,Lagos,terrace,3,2,193,no,not stated,4600000,03/08/2026,#######
Ajah,Lagos,duplex,5,5,786,not stated,not stated,5200000,16/08/2026,#######
Yaba,Lagos,mansion,2,2,,not stated,yes,6800000,06/08/2026,#######
Victoria Island,Lagos,mansion,4,4,545,yes,not stated,15100000,03/08/2026,#######
Ajah,Lagos,mansion,1,1,812,not stated,not stated,5600000,04/08/2026,#######
Guzape,Abuja,flat,1,2,61,no,not stated,4200000,07/08/2026,#######
Jahi,Abuja,terrace,4,5,,not stated,no,6900000,03/08/2026,#######
Guzape,Abuja,penthouse,2,1,,yes,yes,7600000,15/08/2026,#######
Garki,Abuja,bungalow,1,1,,not stated,no,2800000,06/08/2026,#######
Jahi,Abuja,terrace,1,2,89,no,not stated,3900000,07/08/2026,#######
Surulere,Lagos,terrace,2,3,,no,no,3500000,02/08/2026,#######
Gwarinpa,Abuja,mansion,2,1,,not stated,yes,12700000,03/08/2026,#######
Life Camp,Abuja,duplex,3,3,703,not stated,no,4700000,06/08/2026,#######
Wuse 2,Abuja,bungalow,2,2,,yes,not stated,4800000,08/08/2026,#######
Garki,Abuja,self-contain,0,1,,yes,yes,900000,13/08/2026,#######
Wuse 1,Abuja,mansion,3,2,,yes,yes,7100000,17/08/2026,#######
Ikeja GRA,Lagos,duplex,3,3,163,yes,yes,4800000,01/08/2026,#######
Allen,Lagos,terrace,5,6,560,yes,yes,5000000,16/08/2026,#######
Festac,Lagos,penthouse,5,5,271,not stated,not stated,6800000,08/08/2026,#######
Guzape,Abuja,mansion,2,2,1019,not stated,no,11900000,16/08/2026,#######
Lugbe,Abuja,self-contain,0,1,,not stated,not stated,500000,11/08/2026,#######
Amuwo Odofin,Lagos,self-contain,0,1,,no,not stated,1500000,12/08/2026,#######
Gwarinpa,Abuja,mansion,3,4,883,no,not stated,12800000,18/08/2026,#######
Ajah,Lagos,bungalow,5,4,372,no,no,6200000,17/08/2026,#######
Garki,Abuja,mansion,3,3,1143,no,not stated,6300000,17/08/2026,#######
Maitama,Abuja,bungalow,3,2,263,not stated,not stated,6900000,09/08/2026,#######
Lekki Phase 1,Lagos,penthouse,2,2,140,yes,no,9700000,01/08/2026,#######
Surulere,Lagos,bungalow,3,2,,no,no,4400000,09/08/2026,#######
Wuse 1,Abuja,terrace,2,2,,yes,not stated,2200000,16/08/2026,#######
Ajah,Lagos,flat,4,5,459,no,no,5500000,05/08/2026,#######
Garki,Abuja,bungalow,2,2,,not stated,no,3300000,17/08/2026,#######
Guzape,Abuja,duplex,2,2,96,yes,not stated,5100000,02/08/2026,#######
Ikeja,Lagos,terrace,3,4,312,yes,no,4000000,08/08/2026,#######
Maryland,Lagos,flat,3,2,460,yes,no,3100000,06/08/2026,#######
Guzape,Abuja,bungalow,2,3,,not stated,yes,4900000,12/08/2026,#######
Maitama,Abuja,mansion,6,6,,not stated,yes,18500000,15/08/2026,#######
Festac,Lagos,flat,3,2,273,not stated,no,4200000,18/08/2026,#######
Mabushi,Abuja,duplex,2,1,68,yes,not stated,3800000,09/08/2026,#######
Katampe,Abuja,mansion,4,4,1030,no,yes,7400000,11/08/2026,#######
Sangotedo,Lagos,duplex,3,2,620,no,not stated,3000000,05/08/2026,#######
Guzape,Abuja,self-contain,0,1,52,yes,yes,1900000,05/08/2026,#######
Lokogoma,Abuja,self-contain,0,1,,yes,no,0,12/08/2026,#######
Ikeja GRA,Lagos,mansion,3,3,817,no,not stated,11800000,01/08/2026,#######
Maryland,Lagos,self-contain,0,1,126,not stated,no,1400000,04/08/2026,#######
Allen,Lagos,terrace,3,2,239,not stated,no,3000000,17/08/2026,#######
Sangotedo,Lagos,flat,2,2,44,yes,not stated,3700000,04/08/2026,#######
Life Camp,Abuja,duplex,1,1,50,no,not stated,3100000,14/08/2026,#######
Gwarinpa,Abuja,self-contain,0,1,,no,not stated,900000,08/08/2026,#######
Katampe,Abuja,terrace,2,2,65,no,no,3700000,10/08/2026,#######
Gbagada,Lagos,terrace,3,4,713,yes,yes,4300000,07/08/2026,#######
Magodo,Lagos,bungalow,2,1,,no,not stated,3700000,08/08/2026,#######
Dutse,Abuja,bungalow,1,1,101,no,yes,2400000,06/08/2026,#######
Opebi,Lagos,terrace,2,2,67,not stated,yes,2300000,17/08/2026,#######
Maitama,Abuja,bungalow,2,1,,yes,not stated,5700000,06/08/2026,#######
Festac,Lagos,duplex,6,5,432,yes,no,5800000,14/08/2026,#######
Wuse 2,Abuja,duplex,2,3,93,no,yes,5800000,18/08/2026,#######
Victoria Island,Lagos,mansion,5,4,1037,yes,not stated,16300000,01/08/2026,#######
Garki,Abuja,duplex,5,6,,no,no,4800000,02/08/2026,#######
Wuse 1,Abuja,flat,3,2,,not stated,not stated,4600000,11/08/2026,#######
Apo,Abuja,duplex,1,1,146,yes,no,2000000,17/08/2026,#######
Wuse 1,Abuja,flat,3,2,444,no,not stated,3700000,16/08/2026,#######
Wuse 2,Abuja,duplex,2,1,134,not stated,no,6100000,15/08/2026,#######
Ikeja,Lagos,duplex,2,3,,no,not stated,2500000,01/08/2026,#######
Surulere,Lagos,duplex,3,4,,not stated,yes,2900000,10/08/2026,#######
Jahi,Abuja,duplex,6,5,,yes,not stated,8000000,05/08/2026,#######
Ikeja GRA,Lagos,flat,3,4,691,yes,not stated,5500000,02/08/2026,#######
Mabushi,Abuja,self-contain,0,1,,not stated,not stated,1400000,18/08/2026,#######
Dutse,Abuja,mansion,2,2,,yes,yes,6800000,08/08/2026,#######
Lekki Phase 1,Lagos,duplex,3,4,361,not stated,no,5100000,11/08/2026,#######
Ajah,Lagos,bungalow,4,4,671,yes,not stated,4300000,01/08/2026,#######
Gbagada,Lagos,self-contain,0,1,133,no,no,1300000,17/08/2026,#######
Ikeja GRA,Lagos,duplex,4,3,618,yes,yes,5700000,18/08/2026,#######
Surulere,Lagos,penthouse,4,4,323,no,no,6900000,12/08/2026,#######
Life Camp,Abuja,mansion,3,3,529,no,not stated,7600000,05/08/2026,#######
Jahi,Abuja,terrace,2,2,140,no,no,5100000,17/08/2026,#######
Dutse,Abuja,mansion,2,1,1014,not stated,not stated,5600000,04/08/2026,#######
Asokoro,Abuja,duplex,2,1,58,not stated,yes,6000000,13/08/2026,#######
Guzape,Abuja,duplex,3,4,360,yes,yes,5500000,17/08/2026,#######
Life Camp,Abuja,terrace,2,2,55,no,not stated,2400000,04/08/2026,#######
Surulere,Lagos,duplex,4,3,,no,no,4400000,15/08/2026,#######
Ajah,Lagos,bungalow,2,3,122,yes,not stated,4000000,12/08/2026,#######
Lokogoma,Abuja,duplex,2,1,,no,yes,3900000,10/08/2026,#######
Life Camp,Abuja,terrace,3,4,,not stated,no,3100000,07/08/2026,#######
Asokoro,Abuja,self-contain,0,1,144,no,yes,900000,14/08/2026,#######
Mabushi,Abuja,terrace,4,5,,no,not stated,5400000,12/08/2026,#######
Allen,Lagos,mansion,3,4,,not stated,yes,6700000,03/08/2026,#######
Allen,Lagos,duplex,4,5,163,not stated,yes,5100000,04/08/2026,#######
Gwarinpa,Abuja,terrace,2,1,73,no,not stated,3900000,09/08/2026,#######
Allen,Lagos,penthouse,5,6,569,not stated,yes,6500000,03/08/2026,#######
VGC,Lagos,flat,1,1,136,yes,not stated,2600000,06/08/2026,#######
Opebi,Lagos,bungalow,2,1,98,no,not stated,3600000,01/08/2026,#######
Allen,Lagos,bungalow,3,4,589,not stated,yes,3000000,16/08/2026,#######
Surulere,Lagos,mansion,4,3,,no,not stated,7000000,09/08/2026,#######
Lekki Phase 2,Lagos,terrace,1,1,,not stated,no,3200000,04/08/2026,#######
Guzape,Abuja,terrace,5,5,229,not stated,no,7700000,11/08/2026,#######
Ilupeju,Lagos,flat,3,2,657,yes,no,3500000,11/08/2026,#######
Wuse 1,Abuja,mansion,4,5,,no,not stated,7400000,13/08/2026,#######
Apo,Abuja,self-contain,0,1,101,no,not stated,0,08/08/2026,#######
Wuse 1,Abuja,flat,1,2,,no,no,1500000,02/08/2026,#######
Gwarinpa,Abuja,terrace,4,4,407,not stated,yes,5800000,12/08/2026,#######
Jahi,Abuja,self-contain,0,1,75,no,no,300000,02/08/2026,#######
Dutse,Abuja,flat,1,1,145,no,yes,2100000,10/08/2026,#######
Sangotedo,Lagos,penthouse,3,4,441,not stated,yes,5900000,11/08/2026,#######
VGC,Lagos,penthouse,2,1,144,no,not stated,7600000,01/08/2026,#######
Gbagada,Lagos,penthouse,2,3,140,not stated,no,4900000,16/08/2026,#######
Mabushi,Abuja,penthouse,1,1,,no,yes,4200000,14/08/2026,#######
Surulere,Lagos,mansion,2,2,969,not stated,not stated,5300000,01/08/2026,#######
Ikoyi,Lagos,bungalow,2,3,,no,no,4800000,11/08/2026,#######
Amuwo Odofin,Lagos,duplex,3,3,421,yes,yes,4600000,12/08/2026,#######
Victoria Island,Lagos,bungalow,3,4,664,not stated,no,6200000,03/08/2026,#######
VGC,Lagos,mansion,3,3,,not stated,not stated,10100000,03/08/2026,#######
Lokogoma,Abuja,mansion,2,3,811,no,yes,5400000,05/08/2026,#######
Ojodu Berger,Lagos,self-contain,0,1,,yes,no,500000,01/08/2026,#######
Mabushi,Abuja,flat,5,6,355,no,yes,4900000,04/08/2026,#######
Wuse 1,Abuja,mansion,2,2,884,yes,yes,6500000,17/08/2026,#######
Allen,Lagos,bungalow,1,1,133,not stated,no,2200000,01/08/2026,#######
Dutse,Abuja,mansion,5,5,512,no,no,8100000,15/08/2026,#######
VGC,Lagos,bungalow,3,3,295,yes,not stated,5500000,15/08/2026,#######
Wuse 1,Abuja,self-contain,0,1,,yes,not stated,400000,09/08/2026,#######
Katampe,Abuja,bungalow,2,1,101,yes,yes,2300000,05/08/2026,#######
Katampe,Abuja,penthouse,2,2,,no,not stated,4900000,09/08/2026,#######
Lokogoma,Abuja,self-contain,0,1,115,no,yes,200000,15/08/2026,#######
Ojodu Berger,Lagos,mansion,2,3,,yes,yes,5100000,16/08/2026,#######
Lekki Phase 1,Lagos,penthouse,4,4,525,yes,not stated,10300000,16/08/2026,#######
Magodo,Lagos,self-contain,0,1,,yes,yes,100000,01/08/2026,#######
VGC,Lagos,penthouse,5,5,157,yes,not stated,8500000,05/08/2026,#######
Katampe,Abuja,mansion,3,4,,no,no,6900000,06/08/2026,#######
Asokoro,Abuja,self-contain,0,1,,not stated,not stated,2400000,18/08/2026,#######
Lekki Phase 1,Lagos,flat,6,7,641,yes,yes,7500000,10/08/2026,#######
Allen,Lagos,penthouse,1,2,120,yes,not stated,3400000,03/08/2026,#######
Opebi,Lagos,flat,2,3,41,no,yes,4000000,15/08/2026,#######
Victoria Island,Lagos,mansion,3,4,,yes,not stated,14500000,02/08/2026,#######
VGC,Lagos,flat,2,3,148,yes,no,4300000,11/08/2026,#######
Garki,Abuja,bungalow,4,3,451,yes,no,4500000,17/08/2026,#######
Dutse,Abuja,self-contain,0,1,134,no,no,200000,06/08/2026,#######
Gbagada,Lagos,self-contain,0,1,138,no,no,900000,05/08/2026,#######
Gwarinpa,Abuja,terrace,6,7,,no,no,7100000,07/08/2026,#######
Gwarinpa,Abuja,self-contain,0,1,,yes,not stated,1700000,02/08/2026,#######
Garki,Abuja,self-contain,0,1,77,no,not stated,-100000,04/08/2026,#######
Asokoro,Abuja,mansion,1,1,860,not stated,not stated,15700000,15/08/2026,#######
Allen,Lagos,flat,1,2,45,yes,not stated,1800000,17/08/2026,#######
Gwarinpa,Abuja,duplex,2,3,88,not stated,yes,4700000,04/08/2026,#######
Sangotedo,Lagos,terrace,4,5,458,no,yes,4700000,02/08/2026,#######
Ajah,Lagos,terrace,2,2,67,yes,not stated,3400000,14/08/2026,#######
Opebi,Lagos,flat,6,5,,not stated,not stated,7100000,04/08/2026,#######
